-179.0	129.982325185
-178.0	124.586773159
-157.0	-5.71456235447
-152.0	-35.7678729098
-148.0	-57.7491574201
-140.0	-93.8002349562
-135.0	-109.608173052
-104.0	-72.6411594804
-70.0	61.0024212387
-62.0	61.9875678565
-47.0	25.4603371853
7.0	-3.33040286707
19.0	17.8252350987
25.0	23.9731068666
48.0	-28.8582125164
56.0	-52.1968155127
57.0	-54.3838536773
63.0	-62.7816965036
75.0	-51.9145114869
80.0	-36.9782384687
95.0	30.0655945834
96.0	34.9996166737
129.0	120.62848439
133.0	114.280676784
137.0	103.97362021
146.0	67.8499313968
152.0	35.7678729098
160.0	-13.2233045548
171.0	-83.5269890646
172.0	-89.6830953371
173.0	-95.7576589287
180.0	-135.234898094
191.0	-181.489825591
